a bit	một chút, một tí
plot	mảnh đất nhở, sơ đồ, đồ thị, đồ án; vẽ sơ đồ, dựng đồ án
plug	nút
plus	cộng với ; dấu cộng; cộng, thêm vào
pocket	túi , túi tiền
poem	thi ca; chất thơ
point	mũi nhọn, điểm; vót, làm nhọn, chấm
pointed	nhọn, có đầu nhọn
poison	chất độc, thuốc độc; đánh thuốc độc, tẩm thuốc độc
poisonous	độc, có chất độc, gây chết, bệnh
pole	người ba lan; cực
police	cảnh sát, công an
policy	chính sách
polish	nước bóng, nước láng; đánh bóng, làm cho láng
polite	lễ phép, lịch sự
politely	lễ phép, lịch sự
political	về chính trị, về chính phủ, có tính chính trị
politically	về mặt chính trị; khôn ngoan, thận trọng; sảo quyệt
politician	nhà chính trị, chính khách
politics	họat động chính trị, đời sống chính trị, quan điểm chính trị
pollution	sự ô nhiễm
pool	vũng nước; bể bơi, hồ bơi
poor	nghèo
pop	tiếp bốp, phong cách dân gian hiện đại; nổ bốp
popular	có tính đại chúng,  nhân dân; được nhiều người ưa chuộng
population	dân cư, dân số; mật độ dân số
port	cảng
pose	đưa ra, đề ra, đặt; sự đặt, đề ra
position	vị trí, chỗ
positive	xác thực, rõ ràng, tích cực, lạc quan
possess	có, chiếm hữu
possession	quyền sở hữu, vật sở hữu
possibility	khă năng, triển vọng
possible	có thể, có thể thực hiện
possibly	có lẽ, có thể, có thể chấp nhận được
post	thư, bưu kiện; gửi thư
post office	bưu điện
pot	can, bình, lọ...
potato	khoai tây
potential	tiềm năng; khả năng, tiềm lực
potentially	tiềm năng, tiềm ẩn
pound	pao - đơn vị đo lường
pour	rót, đổ, giội
powder	bột, bụi
power	khả năng, tài năng, năng lực; sức mạnh, nội lực; quyền lực
powerful	hùng mạnh, hùng cường
practical	thực hành; thực tế
practically	về mặt thực hành; thực tế
practice	thực hành, thực tiễn
practise	thực hành, tập luyện
praise	sự ca ngợi, sự tán dương, lòng tôn kính, tôn thờ; khen ngợi, tán dương
prayer	sự cầu nguyện
precise	rõ ràng, chính xác; tỉ mỉ, kỹ tính
precisely	đúng, chính xác, cần thận
predict	báo trước, tiên đoán, dự báo
prefer	thích hơn
preference	sự thích hơn, sự ưa hơn; cái được ưa thích hơn
pregnant	mang thai; giàu trí tưởng tượng, sáng tạo
premises	biệt thự
preparation	sự sửa soạn, sự chuẩn bị
prepare	sửa soạn, chuẩn bị
prepared	đã được chuẩn bị
presence	sự hiện diện, sự có mặt; người, vât hiện diện
present	có mặt, hiện diện; hiện nay, hiện thời; bày tỏ, giới thiệu, trình bày
presentation	bài thuyết trình, sự trình diện, sự giới thiệu
preserve	bảo quản, giữ gìn
president	hiệu trưởng, chủ tịnh, tổng thống
press	sự ép, sự nén, sự ấn; ép, nén, bóp, ấn
pressure	sức ép, áp lực, áp suất
presumably	có thể được, có lẽ
pretend	giả vờ, giả bộ, làm ra vẻ
pretty	khá, vừa phải; xinh, xinh xắn;, đẹp
prevent	ngăn cản, ngăn chặn, ngăn ngừa
previous	vội vàng, hấp tấp; trước , ưu tiên
previously	trước, trước đây
price	sự kiêu hãnh, sự hãnh diện; tính kiêu căng, tự phụ
priest	linh mục, thầy tu
primarily	trước hết, đầu tiên
primary	nguyên thủy, đầu tiên; thời cổ đại, nguyên sinh; sơ cấp, tiểu học
prime minister	thủ tướng
prince	hoành tử
princess	công chúa
principle	cơ bản, chủ yếu; nguyên lý, nguyên tắc
print	in, xuất bản; sự in ra
printer	máy in, thợ in
printing	sự in, thuật in, kỹ sảo in
prior	trước, ưu tiên
priority	sự ưu tế, quyền ưu tiên
prison	nhà tù
prisoner	tù nhân
private	cá nhân, riêng
privately	riêng tư, cá nhân
prize	giải, giải thưởng
probable	có thể, có khả năng
probably	hầu như chắc chắn
problem	vấn đề, điều khó giải quyết
procedure	thủ tục
proceed	tiến lên, theo duổi, tiếp diễn
process	quá trình, sự tiến triển, quy trình; chế biến, gia công, xử lý
produce	sản xuất, chế tạo
producer	nhà sản xuất
product	sản phẩm
production	sự sản xuất, chế tạo
profession	nghề, nghề nghiệp
professional	nghề, nghề nghiệp; chuyên nghiệp
professor	giáo sư, giảng viên
profit	thuận lợi, lợi ích, lợi nhuận
program	chương trình; lên chương trình
programme	chương trình
progress	sự tiến tới, sự tiến triển; tiến bộ, tiến triển, phát triển
project	đề án, dự án, kế hoạch; dự kiến, kế hoạch
promise	hứa, lời hứa
promote	thăng chức, thăng cấp
promotion	sự thăng chức, sự thăng cấp
prompt	mau lẹ, nhanh chóng; xúi, giục, nhắc nhở
promptly	mau lẹ, ngay lập tức
pronounce	tuyên bố, thông báo, phát âm
pronunciation	sự phát âm
proof	chứng, chứng cớ, bằng chứng; sự kiểm chứng
proper	đúng, thích đáng, thích hợp
properly	một cách đúng đắn, một cách thích đáng
property	tài sản, của cải; đất đai, nhà cửa, bất động sản
proportion	sự cân xứng, sự cân đối
proposal	sự đề nghị, đề xuất
propose	đề nghị, đề xuất, đưa ra
prospect	viễn cảnh, toàn cảnh; triển vọng, mong chờ
protect	bảo vệ, che chở
protection	sự bảo vệ, sự che chở
protest	sự phản đối, sự phản kháng; phản đối, phản kháng
proud	tự hào, kiêu hãnh
proudly	một cách tự hào, một cách hãnh diện
prove	chứng tỏ, chứng minh
provide	chuẩn bị đầy đủ, dự phòng; cung cấp, chu cấp
provided	với điều kiện là, miễn là
public	chung, công cộng; công chúng, nhân dân
publication	sự công bố; sự xuất bản
publicity	sự công khai, sự quảng cáo
publicly	công khai, công cộng
publicyhouse	quán rượu, tiệm rượu
publish	công bố, ban bố; xuất bản
publishing	công việc, nghề xuất bản
pull	lôi, kéo, giật; sự lôi kéo, sự giật
punch	đấm, thụi; quả đấm, cú thụi
punish	phạt, trừng phạt
punishment	sự trừng phạt, sự trừng trị
pupil	học sinh
purchase	sự mua, sự tậu; mua, sắm, tậu
pure	nguyên chất, tinh khiết, trong lành
purely	hoàn toàn, chỉ là
purple	tía, có màu tía; màu tía
purpose	mục đích, ý định
pursue	đuổi theo, đuổi bắt
push	xô đẩy; sự xô đẩy
put	đặt, để, cho vào
put  out	tắt, dập tắt
qualification	phẩm chất, năng lực; khả năng chuyên môn
qualified	đủ tư cách, điều kiện, khả năng
qualify	đủ khả năng, đủ tư cách, điều kiện
quality	chất lượng, phẩm chất
quantity	lượng, số lượng
quarter	4, 15 phút
queen	nữ hoàng
question	câu hỏi; hỏi, chất vấn
quick	nhanh
quickly	nhanh
quiet	lặng, yên lặng, yên tĩnh
quietly	lặng, yên lặng, yên tĩnh
quit	thoát, thoát ra
quite	hoàn toàn, hầu hết
quote	trích dẫn
race	loài, chủng, giống; cuộc đua; đua
racing	cuộc đua
radio	sóng vô tuyến, radio
rail	đường ray
railway	đường sắt
rain	mưa, cơn mưa; mưa
raise	nâng lên, đưa lên, ngẩng lên
range	dãy, hàng, loại; phạm vi, trình độ
rank	hàng, dãy; sắp xếp thành hàng, dãy
rapid	nhanh, nhanh chóng
rapidly	nhanh, nhanh chóng
rare	hiếm, ít
rarely	hiếm khi, ít khi
rate	tỷ lệ, tốc độ
rather	thà.. còn hơn, thích... hơn
rather than	hơn là
raw	sống , thô, còn nguyên chất
reach	đến, đi đến, tới
react	tác động trở lại, phản ứng
reaction	sự phản ứng; sự phản tác dụng
read	đọc
reader	người đọc, độc giả
reading	sự đọc
ready	sẵn sàng
real	thực, thực tế, có thật
realistic	hiện thực
reality	sự thật, thực tế, thực tại
realize	thực hiện, thực hành
really	thực, thực ra, thực sự
rear	phía sau; ở đằng sau, ở đằng sau
reason	lý do, lý lẽ
reasonable	có lý, hợp lý
reasonably	hợp lý
recall	gọi về, triệu hồi; nhặc lại, gợi lại
receipt	công thức; đơn thuốc
receive	nhận, lĩnh, thu
recent	gần đây, mới đây
recently	gần đây, mới đây
reception	sự nhận, sự tiếp nhận, sự đón tiếp
reckon	tính, đếm
recognition	sự công nhận, sự thừa nhận
recognize	nhận ra, nhận diện; công nhận, thừa nhận
recommend	giới thiệu, tiến cử; đề nghị, khuyên bảo
record	bản ghi, sự ghi, bản thu, sự thu; thu, ghi chép
recording	sự ghi, sự thu âm
recover	lấy lại, giành lại
red	đỏ; màu đỏ
reduce	giảm, giảm bớt
reduction	sự giảm giá, sự hạ giá
refer to	xem, tham khảo; ám chỉ, nhắc đến
reference	sự tham khảo, hỏi ýe kiến
reflect	phản chiếu, phản hồi, phản ánh
reform	cải cách, cải thiện, cải tạo; sự cải cách, sự cải thiện, cải tạo
refrigerator	tủ lạnh
refusal	sự từ chối, sự khước từ
refuse	từ chối, khước từ
regard	nhìn, đánh giá; cái nhìn, sự quan tâm, sự chú ý
regarding	về, về việc, đối với
region	vùng, miền
regional	vùng, địa phương
register	đăng ký, ghi vào sổ; sổ, sổ sách, máy ghi
regret	đáng tiếc, hối tiếc; lòng thương tiếc, sự hối tiếc
regular	thường xuyên, đều đặn
regularly	đều đặn, thường xuyên
regulation	sự điều chỉnh, điều lệ, quy tắc
reject	không chấp nhận, loại bỏ, bác bỏ
relate	kể lại, thuật lại; liên hệ, liên quan
related	có liên quan, có quan hệ với ai, cái gì
relation	mối quan hệ, sự liên quan, liên lạc
relationship	mối quan hệ, mối liên lạc
relative	có liên quan đến; người có họ, đại từ quan hệ
relatively	có liên quan, có quan hệ
relax	giải trí, nghỉ ngơi
relaxed	thanh thản, thoải mái
relaxing	làm giảm, bớt căng thẳng
release	làm nhẹ, bớt, thả, phóng thích, phát hành; sự giải thoát, thoát
relevant	thích hợp, có liên quan
relief	sự giảm nhẹ, sự làm cho khuây khỏa; sự trợ cấo; sự đền bù
religion	tôn giáo
religious	tôn giáo
rely on	tin vào, tin cậy, tin tưởng vào
remain	còn lại, vẫn còn như cũ
remaining	còn lại
remains	đồ thừa, cái còn lại
remark	sự nhận xét, phê bình, sự để ý, chú ý; nhận xét, phê bình, để ý, chú ý
remarkable	đáng chú ý, đáng để ý; khác thường
remarkably	đáng chú ý, đáng để ý; khác thường
remember	nhớ, nhớ lại
remind	nhắc nhở, gợi nhớ
remote	xa, xa xôi, xa cách
removal	viêc di chuyển, việc dọn nhà, dời đi
remove	dời đi, di chuyển
rent	sự thuê mướn; cho thuê, thuê
rented	được thuê, được mướn
repair	sửa chữa, chỉnh tu; sự sửa chữa, sự chỉnh tu
repeat	nhắc lại, lặp lại
repeated	được nhắc lại, được lặp lại
repeatedly	lặp đi lặp lại nhiều lần
replace	thay thế
reply	sự trả lời, sự hồi âm; trả lời, hồi âm
report	báo cáo, tường trình; bản báo cáo, bản tường trình
represent	miêu tả, hình dung; đại diện, thay mặt
representative	điều tiêu biểu, tượng trưng, mẫu; miêu tả, biểu hiện, đại diện, tượng trưng
reproduce	tái sản xuất
reputation	sự nổi tiếng, nổi danh
request	lời thỉnh cầu, lời đề nghị, yêu cầu; thỉnh cầu, đề nghị, yêu cầu
require	đòi hỏi, yêu cầu, quy định
requirement	nhu cầu, sự đòi hỏi; luật lệ, thủ tục
rescue	giải thoát, cứu nguy; sự giải thoát, sự cứu nguy
research	sự nghiên cứu
reservation	sự hạn chế, điều kiện hạn chế
reserve	dự trữ, để dành, đặt trước, đăng ký trước; sự dự trữ, sự để dành, sự đặt trước, sự đăng ký trước
resident	người sinh sống, trú ngụ, khách trọ; có nhà ở, cư trú, thường trú
resist	chống lại, phản đổi, kháng cự
resistance	sự chống lại, sự phản đối, sự kháng cự
resolve	quyết định, kiên quyết
resort	kế sách, phương kế
resource	tài nguyên; kế sách, thủ đoạn
respect	sự kính trọng, sự lễ phép; tôn trọng, kính trọng, khâm phục
respond	hưởng ứng, phản ứng lại, trả lời
response	sự trả lời, câu trả lời, sự hưởng ứng, sự đáp lại
responsibility	trách nhiệm, sự chịu trách nhiệm
responsible	chịu trách nhiệm về, chịu trách nhiệm trước ai, gì
rest	sự nghỉ ngơi, lúc nghỉ; nghỉ, nghỉ ngơi
restaurant	nhà hàng ăn, hiệu ăn
restore	hoàn lại, trả lại; sửa chữa lại, phục hồi lại
restrict	hạn chế, giới hạn
restricted	bị hạn chế, có giới hạn; vùng cấm
restriction	sự hạn chế, sự giới hạn
result	kết quả; bởi, do.. mà ra, kết quả là...
retain	giữ lại, nhớ được
retire	rời bỏ, rút về; thôi, nghỉ việc, về hưu
retired	ẩn dật, hẻo lánh, đã về hưu, đã nghỉ việc
retirement	sự ẩn dật, nơi hẻo lánh, sự về hưu, sự nghỉ việc
return	trở lại, trở về; sự trở lại, sự trở về
reveal	bộc lộ, biểu lộ, tiết lộ; phát hiện, khám phá
reverse	đảo, ngược lại; điều trái ngược, mặt trái
review	sự xem lại, sự xét lại; làm lại, xem xét lại
revise	đọc lại, xem lại, sửa lại, ôn lại
revision	sự xem lại, sự đọc lại, sự sửa lại, sự ôn lại
revolution	cuộc cách mạng
reward	sự thưởng, phần thưởng; thưởng, thưởng công
rhythm	nhịp điệu
rice	gạo, thóc, cơm; cây lúa
rich	giàu, giàu có
rid	giải thoát
ride	đi, cưỡi ; sự đi, đường đi
rider	người cưỡi ngựa, người đi xe đạp
ridiculous	buồn cười, lố bịch, lố lăng
riding	môn thể thao cưỡi ngựa, sự đi xe
right	thẳng, phải, tốt; ngay, đúng; điều thiện, điều phải, tốt, bên phải
rightly	đúng, phải, có lý
ring	chiếc nhẫn, đeo nhẫn cho ai
rise	sự lên, sự tăng lương, thăng cấp; dậy, đứng lên, mọc , thành đạt
risk	sự liều, mạo hiểm; liều
rival	đối thủ, địch thủ; đối địch, cạnh tranh
river	sông
road	con đường, đường phố
rob	cướp, lấy trộm
rock	đá
role	vai , vai trò
roll	cuốn, cuộn, sự lăn tròn; lăn, cuốn, quấn, cuộn
romantic	lãng mạn
roof	mái nhà, nóc
room	phòng, buồng
root	gốc, rễ
rope	dây cáp, dây thừng, xâu, chuỗi
rough	gồ ghề, lởm chởm
roughly	gồ ghề, lởm chởm
